a,9158
div,7460
li,6138
span,5951
option,2128
p,1692
input,1328
script,1278
td,1260
ul,1117
img,968
link,850
button,722
h3,545
h2,527
tr,474
meta,414
strong,400
h1,318
b,227
s,199
label,175
form,145
aside,144
nav,128
time,120
header,105
html,90
style,89
article,87
h4,87
footer,77
table,77
i,76
body,71
head,71
title,71
tbody,70
em,61
small,52
select,35
noscript,33
ol,32
th,28
abbr,25
h5,21
blockquote,21
param,21
br,14
iframe,14
main,13
u,9
code,8
object,7
hr,7
font,6
wbr,5
textarea,5
section,4
hgroup,4
BGDIVS,4
vkfQb,3
xml,2
RESKIN,2
thead,2
vllYc,1
apm_do_not_touch,1
legend,1
tfoot,1
h6,1
xxvfQb,1
fieldset,1
